MPG;Weight;Horsepower;Displacement;Acceleration
18.0;3504.0;130.0;307.0;12.0
15.0;3693.0;165.0;350.0;11.5
18.0;3436.0;150.0;318.0;11.0
16.0;3433.0;150.0;304.0;12.0
17.0;3449.0;140.0;302.0;10.5
15.0;4341.0;198.0;429.0;10.0
14.0;4354.0;220.0;454.0;9.0
14.0;4312.0;215.0;440.0;8.5
14.0;4425.0;225.0;455.0;10.0
15.0;3850.0;190.0;390.0;8.5
15.0;3563.0;170.0;383.0;10.0
14.0;3609.0;160.0;340.0;8.0
15.0;3761.0;150.0;400.0;9.5
14.0;3086.0;225.0;455.0;10.0
24.0;2372.0;95.0;113.0;15.0
22.0;2833.0;95.0;198.0;15.5
18.0;2774.0;97.0;199.0;15.5
21.0;2587.0;85.0;200.0;16.0
27.0;2130.0;88.0;97.0;14.5
26.0;1835.0;46.0;97.0;20.5
25.0;2672.0;87.0;110.0;17.5
24.0;2430.0;90.0;107.0;14.5
25.0;2375.0;95.0;104.0;17.5
26.0;2234.0;113.0;121.0;12.5
21.0;2648.0;90.0;199.0;15.0
10.0;4615.0;215.0;360.0;14.0
10.0;4376.0;200.0;307.0;15.0
11.0;4382.0;210.0;318.0;13.5
9.0;4732.0;193.0;304.0;18.5
27.0;2130.0;88.0;97.0;14.5
28.0;2264.0;90.0;140.0;15.5
25.0;2228.0;95.0;113.0;14.0
19.0;2634.0;100.0;232.0;13.0
16.0;3439.0;105.0;225.0;15.5
17.0;3329.0;100.0;250.0;15.5
19.0;3302.0;88.0;250.0;15.5
18.0;3288.0;100.0;232.0;15.5
14.0;4209.0;165.0;350.0;12.0
14.0;4464.0;175.0;400.0;11.5
14.0;4154.0;153.0;351.0;13.5
14.0;4096.0;150.0;318.0;13.0
12.0;4955.0;180.0;383.0;11.5
13.0;4746.0;170.0;400.0;12.0
13.0;5140.0;175.0;400.0;12.0
18.0;2962.0;110.0;258.0;13.5
22.0;2408.0;72.0;140.0;19.0
19.0;3282.0;100.0;250.0;15.0
18.0;3139.0;88.0;250.0;14.5
23.0;2220.0;86.0;122.0;14.0
28.0;2123.0;90.0;116.0;14.0
30.0;2074.0;70.0;79.0;19.5
30.0;2065.0;76.0;88.0;14.5
31.0;1773.0;65.0;71.0;19.0
35.0;1613.0;69.0;72.0;18.0
27.0;1834.0;60.0;97.0;19.0
26.0;1955.0;70.0;91.0;20.5
24.0;2278.0;95.0;113.0;15.5
25.0;2126.0;80.0;97.5;17.0
23.0;2254.0;54.0;97.0;23.5
20.0;2408.0;90.0;140.0;19.5
21.0;2226.0;86.0;122.0;16.5
13.0;4274.0;165.0;350.0;12.0
14.0;4385.0;175.0;400.0;12.0
15.0;4135.0;150.0;318.0;13.5
14.0;4129.0;153.0;351.0;13.0
17.0;3672.0;150.0;304.0;11.5
11.0;4633.0;208.0;429.0;11.0
13.0;4502.0;155.0;350.0;13.5
12.0;4456.0;160.0;350.0;13.5
13.0;4422.0;190.0;400.0;12.5
19.0;2330.0;97.0;70.0;13.5
15.0;3892.0;150.0;304.0;12.5
13.0;4098.0;130.0;307.0;14.0
13.0;4294.0;140.0;302.0;16.0
14.0;4077.0;150.0;318.0;14.0
18.0;2933.0;112.0;121.0;14.5
22.0;2511.0;76.0;121.0;18.0
21.0;2979.0;87.0;120.0;19.5
26.0;2189.0;69.0;96.0;18.0
22.0;2395.0;86.0;122.0;16.0
28.0;2288.0;92.0;97.0;17.0
23.0;2506.0;97.0;120.0;14.5
28.0;2164.0;80.0;98.0;15.0
27.0;2100.0;88.0;97.0;16.5
13.0;4100.0;175.0;350.0;13.0
14.0;3672.0;150.0;304.0;11.5
13.0;3988.0;145.0;350.0;13.0
14.0;4042.0;137.0;302.0;14.5
15.0;3777.0;150.0;318.0;12.5
12.0;4952.0;198.0;429.0;11.5
13.0;4464.0;150.0;400.0;12.0
13.0;4363.0;158.0;351.0;13.0
14.0;4237.0;150.0;318.0;14.5
13.0;4735.0;215.0;440.0;11.0
12.0;4951.0;225.0;455.0;11.0
13.0;3821.0;175.0;360.0;11.0
18.0;3121.0;105.0;225.0;16.5
16.0;3278.0;100.0;250.0;18.0
18.0;2945.0;100.0;232.0;16.0
18.0;3021.0;88.0;250.0;16.5
23.0;2904.0;95.0;198.0;16.0
26.0;1950.0;46.0;97.0;21.0
11.0;4997.0;150.0;400.0;14.0
12.0;4906.0;167.0;400.0;12.5
13.0;4654.0;170.0;360.0;13.0
12.0;4499.0;180.0;350.0;12.5
18.0;2789.0;100.0;232.0;15.0
20.0;2279.0;88.0;97.0;19.0
21.0;2401.0;72.0;140.0;19.5
22.0;2379.0;94.0;108.0;16.5
18.0;2124.0;90.0;70.0;13.5
19.0;2310.0;85.0;122.0;18.5
21.0;2472.0;107.0;155.0;14.0
26.0;2265.0;90.0;98.0;15.5
15.0;4082.0;145.0;350.0;13.0
16.0;4278.0;230.0;400.0;9.5
29.0;1867.0;49.0;68.0;19.5
24.0;2158.0;75.0;116.0;15.5
20.0;2582.0;91.0;114.0;14.0
19.0;2868.0;112.0;121.0;15.5
15.0;3399.0;150.0;318.0;11.0
24.0;2660.0;110.0;121.0;14.0
20.0;2807.0;122.0;156.0;13.5
11.0;3664.0;180.0;350.0;11.0
20.0;3102.0;95.0;198.0;16.5
19.0;2901.0;100.0;232.0;16.0
15.0;3336.0;100.0;250.0;17.0
31.0;1950.0;67.0;79.0;19.0
26.0;2451.0;80.0;122.0;16.5
32.0;1836.0;65.0;71.0;21.0
25.0;2542.0;75.0;140.0;17.0
16.0;3781.0;100.0;250.0;17.0
16.0;3632.0;110.0;258.0;18.0
18.0;3613.0;105.0;225.0;16.5
16.0;4141.0;140.0;302.0;14.0
13.0;4699.0;150.0;350.0;14.5
14.0;4457.0;150.0;318.0;13.5
14.0;4638.0;140.0;302.0;16.0
14.0;4257.0;150.0;304.0;15.5
29.0;2219.0;83.0;98.0;16.5
26.0;1963.0;67.0;79.0;15.5
26.0;2300.0;78.0;97.0;14.5
31.0;1649.0;52.0;76.0;16.5
32.0;2003.0;61.0;83.0;19.0
28.0;2125.0;75.0;90.0;14.5
24.0;2108.0;75.0;90.0;15.5
26.0;2246.0;75.0;116.0;14.0
24.0;2489.0;97.0;120.0;15.0
26.0;2391.0;93.0;108.0;15.5
31.0;2000.0;67.0;79.0;16.0
19.0;3264.0;95.0;225.0;16.0
18.0;3459.0;105.0;250.0;16.0
15.0;3432.0;72.0;250.0;21.0
15.0;3158.0;72.0;250.0;19.5
16.0;4668.0;170.0;400.0;11.5
15.0;4440.0;145.0;350.0;14.0
16.0;4498.0;150.0;318.0;14.5
14.0;4657.0;148.0;351.0;13.5
17.0;3907.0;110.0;231.0;21.0
16.0;3897.0;105.0;250.0;18.5
15.0;3730.0;110.0;258.0;19.0
18.0;3785.0;95.0;225.0;19.0
21.0;3039.0;110.0;231.0;15.0
20.0;3221.0;110.0;262.0;13.5
13.0;3169.0;129.0;302.0;12.0
29.0;2171.0;75.0;97.0;16.0
23.0;2639.0;83.0;140.0;17.0
20.0;2914.0;100.0;232.0;16.0
23.0;2592.0;78.0;140.0;18.5
24.0;2702.0;96.0;134.0;13.5
25.0;2223.0;71.0;90.0;16.5
24.0;2545.0;97.0;119.0;17.0
18.0;2984.0;97.0;171.0;14.5
29.0;1937.0;70.0;90.0;14.0
19.0;3211.0;90.0;232.0;17.0
23.0;2694.0;95.0;115.0;15.0
23.0;2957.0;88.0;120.0;17.0
22.0;2945.0;98.0;121.0;14.5
25.0;2671.0;115.0;121.0;13.5
33.0;1795.0;53.0;91.0;17.5
28.0;2464.0;86.0;107.0;15.5
25.0;2220.0;81.0;116.0;16.9
25.0;2572.0;92.0;140.0;14.9
26.0;2255.0;79.0;98.0;17.7
27.0;2202.0;83.0;101.0;15.3
17.5;4215.0;140.0;305.0;13.0
16.0;4190.0;150.0;318.0;13.0
15.5;3962.0;120.0;304.0;13.9
14.5;4215.0;152.0;351.0;12.8
22.0;3233.0;100.0;225.0;15.4
22.0;3353.0;105.0;250.0;14.5
24.0;3012.0;81.0;200.0;17.6
22.5;3085.0;90.0;232.0;17.6
29.0;2035.0;52.0;85.0;22.2
24.5;2164.0;60.0;98.0;22.1
29.0;1937.0;70.0;90.0;14.2
33.0;1795.0;53.0;91.0;17.4
20.0;3651.0;100.0;225.0;17.7
18.0;3574.0;78.0;250.0;21.0
18.5;3645.0;110.0;250.0;16.2
17.5;3193.0;95.0;258.0;17.8
29.5;1825.0;71.0;97.0;12.2
32.0;1990.0;70.0;85.0;17.0
28.0;2155.0;75.0;97.0;16.4
26.5;2565.0;72.0;140.0;13.6
20.0;3150.0;102.0;130.0;15.7
13.0;3940.0;150.0;318.0;13.2
19.0;3270.0;88.0;120.0;21.9
19.0;2930.0;108.0;156.0;15.5
16.5;3820.0;120.0;168.0;16.7
16.5;4380.0;180.0;350.0;12.1
13.0;4055.0;145.0;350.0;12.0
13.0;3870.0;130.0;302.0;15.0
13.0;3755.0;150.0;318.0;14.0
31.5;2045.0;68.0;98.0;18.5
30.0;2155.0;80.0;111.0;14.8
36.0;1825.0;58.0;79.0;18.6
25.5;2300.0;96.0;122.0;15.5
33.5;1945.0;70.0;85.0;16.8
17.5;3880.0;145.0;305.0;12.5
17.0;4060.0;110.0;260.0;19.0
15.5;4140.0;145.0;318.0;13.7
15.0;4295.0;130.0;302.0;14.9
17.5;3520.0;110.0;250.0;16.4
20.5;3425.0;105.0;231.0;16.9
19.0;3630.0;100.0;225.0;17.7
18.5;3525.0;98.0;250.0;19.0
16.0;4220.0;180.0;400.0;11.1
15.5;4165.0;170.0;350.0;11.4
15.5;4325.0;190.0;400.0;12.2
16.0;4335.0;149.0;351.0;14.5
29.0;1940.0;78.0;97.0;14.5
24.5;2740.0;88.0;151.0;16.0
26.0;2265.0;75.0;97.0;18.2
25.5;2755.0;89.0;140.0;15.8
30.5;2051.0;63.0;98.0;17.0
33.5;2075.0;83.0;98.0;15.9
30.0;1985.0;67.0;97.0;16.4
30.5;2190.0;78.0;97.0;14.1
22.0;2815.0;97.0;146.0;14.5
21.5;2600.0;110.0;121.0;12.8
21.5;2720.0;110.0;80.0;13.5
43.1;1985.0;48.0;90.0;21.5
36.1;1800.0;66.0;98.0;14.4
32.8;1985.0;52.0;78.0;19.4
39.4;2070.0;70.0;85.0;18.6
36.1;1800.0;60.0;91.0;16.4
19.9;3365.0;110.0;260.0;15.5
19.4;3735.0;140.0;318.0;13.2
20.2;3570.0;139.0;302.0;12.8
19.2;3535.0;105.0;231.0;19.2
20.5;3155.0;95.0;200.0;18.2
20.2;2965.0;85.0;200.0;15.8
25.1;2720.0;88.0;140.0;15.4
20.5;3430.0;100.0;225.0;17.2
19.4;3210.0;90.0;232.0;17.2
20.6;3380.0;105.0;231.0;15.8
20.8;3070.0;85.0;200.0;16.7
18.6;3620.0;110.0;225.0;18.7
18.1;3410.0;120.0;258.0;15.1
19.2;3425.0;145.0;305.0;13.2
17.7;3445.0;165.0;231.0;13.4
18.1;3205.0;139.0;302.0;11.2
17.5;4080.0;140.0;318.0;13.7
30.0;2155.0;68.0;98.0;16.5
27.5;2560.0;95.0;134.0;14.2
27.2;2300.0;97.0;119.0;14.7
30.9;2230.0;75.0;105.0;14.5
21.1;2515.0;95.0;134.0;14.8
23.2;2745.0;105.0;156.0;16.7
23.8;2855.0;85.0;151.0;17.6
23.9;2405.0;97.0;119.0;14.9
20.3;2830.0;103.0;131.0;15.9
17.0;3140.0;125.0;163.0;13.6
21.6;2795.0;115.0;121.0;15.7
16.2;3410.0;133.0;163.0;15.8
31.5;1990.0;71.0;89.0;14.9
29.5;2135.0;68.0;98.0;16.6
21.5;3245.0;115.0;231.0;15.4
19.8;2990.0;85.0;200.0;18.2
22.3;2890.0;88.0;140.0;17.3
20.2;3265.0;90.0;232.0;18.2
20.6;3360.0;110.0;225.0;16.6
17.0;3840.0;130.0;305.0;15.4
17.6;3725.0;129.0;302.0;13.4
16.5;3955.0;138.0;351.0;13.2
18.2;3830.0;135.0;318.0;15.2
16.9;4360.0;155.0;350.0;14.9
15.5;4054.0;142.0;351.0;14.3
19.2;3605.0;125.0;267.0;15.0
18.5;3940.0;150.0;360.0;13.0
31.9;1925.0;71.0;89.0;14.0
34.1;1975.0;65.0;86.0;15.2
35.7;1915.0;80.0;98.0;14.4
27.4;2670.0;80.0;121.0;15.0
25.4;3530.0;77.0;183.0;20.1
23.0;3900.0;125.0;350.0;17.4
27.2;3190.0;71.0;141.0;24.8
23.9;3420.0;90.0;260.0;22.2
34.2;2200.0;70.0;105.0;13.2
34.5;2150.0;70.0;105.0;14.9
31.8;2020.0;65.0;85.0;19.2
37.3;2130.0;69.0;91.0;14.7
28.4;2670.0;90.0;151.0;16.0
28.8;2595.0;115.0;173.0;11.3
26.8;2700.0;115.0;173.0;12.9
33.5;2556.0;90.0;151.0;13.2
41.5;2144.0;76.0;98.0;14.7
38.1;1968.0;60.0;89.0;18.8
32.1;2120.0;70.0;98.0;15.5
37.2;2019.0;65.0;86.0;16.4
28.0;2678.0;90.0;151.0;16.5
26.4;2870.0;88.0;140.0;18.1
24.3;3003.0;90.0;151.0;20.1
19.1;3381.0;90.0;225.0;18.7
34.3;2188.0;78.0;97.0;15.8
29.8;2711.0;90.0;134.0;15.5
31.3;2542.0;75.0;120.0;17.5
37.0;2434.0;92.0;119.0;15.0
32.2;2265.0;75.0;108.0;15.2
46.6;2110.0;65.0;86.0;17.9
27.9;2800.0;105.0;156.0;14.4
40.8;2110.0;65.0;85.0;19.2
44.3;2085.0;48.0;90.0;21.7
43.4;2335.0;48.0;90.0;23.7
36.4;2950.0;67.0;121.0;19.9
30.0;3250.0;67.0;146.0;21.8
44.6;1850.0;67.0;91.0;13.8
33.8;2145.0;67.0;97.0;18.0
29.8;1845.0;62.0;89.0;15.3
32.7;2910.0;132.0;168.0;11.4
23.7;2420.0;100.0;70.0;12.5
35.0;2500.0;88.0;122.0;15.1
32.4;2290.0;72.0;107.0;17.0
27.2;2490.0;84.0;135.0;15.7
26.6;2635.0;84.0;151.0;16.4
25.8;2620.0;92.0;156.0;14.4
23.5;2725.0;110.0;173.0;12.6
30.0;2385.0;84.0;135.0;12.9
39.1;1755.0;58.0;79.0;16.9
39.0;1875.0;64.0;86.0;16.4
35.1;1760.0;60.0;81.0;16.1
32.3;2065.0;67.0;97.0;17.8
37.0;1975.0;65.0;85.0;19.4
37.7;2050.0;62.0;89.0;17.3
34.1;1985.0;68.0;91.0;16.0
34.7;2215.0;63.0;105.0;14.9
34.4;2045.0;65.0;98.0;16.2
29.9;2380.0;65.0;98.0;20.7
33.0;2190.0;74.0;105.0;14.2
33.7;2210.0;75.0;107.0;14.4
32.4;2350.0;75.0;108.0;16.8
32.9;2615.0;100.0;119.0;14.8
31.6;2635.0;74.0;120.0;18.3
28.1;3230.0;80.0;141.0;20.4
30.7;3160.0;76.0;145.0;19.6
25.4;2900.0;116.0;168.0;12.6
24.2;2930.0;120.0;146.0;13.8
22.4;3415.0;110.0;231.0;15.8
26.6;3725.0;105.0;350.0;19.0
20.2;3060.0;88.0;200.0;17.1
17.6;3465.0;85.0;225.0;16.6
28.0;2605.0;88.0;112.0;19.6
27.0;2640.0;88.0;112.0;18.6
34.0;2395.0;88.0;112.0;18.0
31.0;2575.0;85.0;112.0;16.2
29.0;2525.0;84.0;135.0;16.0
27.0;2735.0;90.0;151.0;18.0
24.0;2865.0;92.0;140.0;16.4
36.0;1980.0;74.0;105.0;15.3
37.0;2025.0;68.0;91.0;18.2
31.0;1970.0;68.0;91.0;17.6
38.0;2125.0;63.0;105.0;14.7
36.0;2125.0;70.0;98.0;17.3
36.0;2160.0;88.0;120.0;14.5
36.0;2205.0;75.0;107.0;14.5
34.0;2245.0;70.0;108.0;16.9
38.0;1965.0;67.0;91.0;15.0
32.0;1965.0;67.0;91.0;15.7
38.0;1995.0;67.0;91.0;16.2
25.0;2945.0;110.0;181.0;16.4
38.0;3015.0;85.0;262.0;17.0
26.0;2585.0;92.0;156.0;14.5
22.0;2835.0;112.0;232.0;14.7
32.0;2665.0;96.0;144.0;13.9
36.0;2370.0;84.0;135.0;13.0
27.0;2950.0;90.0;151.0;17.3
27.0;2790.0;86.0;140.0;15.6
44.0;2130.0;52.0;97.0;24.6
32.0;2295.0;84.0;135.0;11.6
28.0;2625.0;79.0;120.0;18.6
31.0;2720.0;82.0;119.0;19.4
